,x1,x2,x3,x4,x5,x6,y
2000-01-01,1.37707338102653,-0.3973286911027264,-1.4748798656939381,0.15452139076196264,-0.29506203355260474,-1.1017402354773687,-3.137846388059977
2000-01-02,0.4010303894380661,0.9815545630463989,-1.4054909087236793,1.3391157280807247,0.4842746741554133,0.3596178372921164,0.5883803571679282
2000-01-03,-0.13943031632115854,0.28286207980041944,-0.9010368253641701,0.07335222175258271,-0.5335614203446948,-0.9317748094018091,-0.42982717286348643
2000-01-04,-1.4620367541709716,0.23617808238382626,0.9121126899103852,0.4426462913641638,-0.4550615465950741,-1.3478235269355678,-1.323823455114684
2000-01-05,0.35113960391559174,-0.43911979108926313,0.607890090496117,-0.8906343730219584,-0.672356155250529,-0.84512901069498,0.9046751100826967
2000-01-06,0.5305786165832775,0.587651553970949,0.18005836325028,-0.8042327485387175,-0.9756593588234229,-0.04885588129825602,2.628327748524596
2000-01-07,-0.2765361315138135,0.9191191338949797,0.16000452264668868,0.23700598413486385,0.5585460866035858,-0.8163589494771054,1.1430217458457903
2000-01-08,0.4979783249213723,0.3471770487206698,-0.5434285960791722,-0.7863028528928966,1.1631967284352058,-0.04679505235845516,0.4446296188893471
2000-01-09,1.3553285085178213,0.9326690693921708,-0.33838501341345284,-0.49675746286159617,1.5302118886844243,0.44944418608111747,3.4797447544471183
2000-01-10,-0.10702093964423876,-0.5782090783305165,-2.5671987536989134,-0.7983031593817373,1.858648329048777,-0.313265244694145,-0.8948657593622212
2000-01-11,-0.8248686248801893,0.8075883358168114,-2.323717259882603,1.0655916412446025,0.20131438424747294,-0.5973153967195617,-2.245742357679385
2000-01-12,0.012931685351183553,0.30169361675319556,-1.1606381879404686,0.6477806839439617,-0.46917706720609,1.6112981304797551,0.07403638387905476
2000-01-13,0.024225993988646954,0.48693134596899457,0.7141533918782832,0.776865103027392,0.4480575709981979,-1.337724286325887,1.5302943909817268
2000-01-14,0.5363938474990525,-0.4845684615042116,0.6453243308255592,0.14399108017421222,1.5209436488784678,-1.4053676210227,-0.3416583128449543
2000-01-15,0.5654541739745096,0.06743143505181359,-0.17018006633946425,-0.0581468804634815,2.034850236887684,-0.4782791382549481,0.6057900310144801
2000-01-16,-0.0061903380720447765,0.4763861681453835,-0.5703678980836234,0.01585640634650149,0.9147626492305345,0.12544208735986215,0.9705724630456287
2000-01-17,-3.031767681098487,0.502941006708938,0.4504527952656105,-0.8917567283069024,0.5021637970450533,0.7131991073311549,-3.320609486897763
