replicate,period,row_position,row_label,window_n_rows,row_inclusion_probability
0,0,60,1965-01-01 00:00:00,355,0.011267605633802818
0,0,167,1973-12-01 00:00:00,355,0.011267605633802818
0,0,218,1978-03-01 00:00:00,355,0.011267605633802818
0,0,345,1988-10-01 00:00:00,355,0.011267605633802818
0,1,147,1972-05-01 00:00:00,355,0.011267605633802818
0,1,206,1977-04-01 00:00:00,355,0.011267605633802818
0,1,249,1980-11-01 00:00:00,355,0.011267605633802818
0,1,339,1988-05-01 00:00:00,355,0.011267605633802818
0,2,198,1976-09-01 00:00:00,355,0.011267605633802818
0,2,209,1977-08-01 00:00:00,355,0.011267605633802818
0,2,230,1979-05-01 00:00:00,355,0.011267605633802818
0,2,312,1986-03-01 00:00:00,355,0.011267605633802818
0,3,158,1973-06-01 00:00:00,355,0.011267605633802818
0,3,184,1975-08-01 00:00:00,355,0.011267605633802818
0,3,278,1983-06-01 00:00:00,355,0.011267605633802818
0,3,312,1986-04-01 00:00:00,355,0.011267605633802818
0,4,31,1962-12-01 00:00:00,355,0.011267605633802818
0,4,58,1965-03-01 00:00:00,355,0.011267605633802818
0,4,179,1975-04-01 00:00:00,355,0.011267605633802818
0,4,210,1977-11-01 00:00:00,355,0.011267605633802818
0,5,23,1962-05-01 00:00:00,355,0.011267605633802818
0,5,276,1983-06-01 00:00:00,355,0.011267605633802818
0,5,334,1988-04-01 00:00:00,355,0.011267605633802818
0,5,342,1988-12-01 00:00:00,355,0.011267605633802818
0,6,51,1964-10-01 00:00:00,355,0.011267605633802818
0,6,105,1969-04-01 00:00:00,355,0.011267605633802818
0,6,133,1971-08-01 00:00:00,355,0.011267605633802818
0,6,172,1974-11-01 00:00:00,355,0.011267605633802818
0,7,45,1964-05-01 00:00:00,355,0.011267605633802818
0,7,89,1968-01-01 00:00:00,355,0.011267605633802818
0,7,122,1970-10-01 00:00:00,355,0.011267605633802818
0,7,198,1977-02-01 00:00:00,355,0.011267605633802818
0,8,197,1977-02-01 00:00:00,355,0.011267605633802818
0,8,223,1979-04-01 00:00:00,355,0.011267605633802818
0,8,224,1979-05-01 00:00:00,355,0.011267605633802818
0,8,261,1982-06-01 00:00:00,355,0.011267605633802818
0,9,39,1964-01-01 00:00:00,355,0.011267605633802818
0,9,114,1970-04-01 00:00:00,355,0.011267605633802818
0,9,143,1972-09-01 00:00:00,355,0.011267605633802818
0,9,318,1987-04-01 00:00:00,355,0.011267605633802818
0,10,6,1961-05-01 00:00:00,355,0.011267605633802818
0,10,46,1964-09-01 00:00:00,355,0.011267605633802818
0,10,215,1978-10-01 00:00:00,355,0.011267605633802818
0,10,301,1985-12-01 00:00:00,355,0.011267605633802818
0,11,193,1977-01-01 00:00:00,355,0.011267605633802818
0,11,200,1977-08-01 00:00:00,355,0.011267605633802818
0,11,313,1987-01-01 00:00:00,355,0.011267605633802818
0,11,330,1988-06-01 00:00:00,355,0.011267605633802818
0,12,73,1967-02-01 00:00:00,355,0.011267605633802818
0,12,134,1972-03-01 00:00:00,355,0.011267605633802818
0,12,145,1973-02-01 00:00:00,355,0.011267605633802818
0,12,295,1985-08-01 00:00:00,355,0.011267605633802818
0,13,30,1963-08-01 00:00:00,355,0.011267605633802818
0,13,248,1981-10-01 00:00:00,355,0.011267605633802818
0,13,296,1985-10-01 00:00:00,355,0.011267605633802818
0,13,298,1985-12-01 00:00:00,355,0.011267605633802818
0,14,20,1962-11-01 00:00:00,355,0.011267605633802818
0,14,67,1966-10-01 00:00:00,355,0.011267605633802818
0,14,126,1971-09-01 00:00:00,355,0.011267605633802818
0,14,288,1985-03-01 00:00:00,355,0.011267605633802818
0,15,32,1963-12-01 00:00:00,355,0.011267605633802818
0,15,98,1969-06-01 00:00:00,355,0.011267605633802818
0,15,180,1976-04-01 00:00:00,355,0.011267605633802818
0,15,251,1982-03-01 00:00:00,355,0.011267605633802818
0,16,5,1961-10-01 00:00:00,355,0.011267605633802818
0,16,159,1974-08-01 00:00:00,355,0.011267605633802818
0,16,213,1979-02-01 00:00:00,355,0.011267605633802818
0,16,336,1989-05-01 00:00:00,355,0.011267605633802818
0,17,174,1975-12-01 00:00:00,355,0.011267605633802818
0,17,224,1980-02-01 00:00:00,355,0.011267605633802818
0,17,269,1983-11-01 00:00:00,355,0.011267605633802818
0,17,324,1988-06-01 00:00:00,355,0.011267605633802818
0,18,187,1977-02-01 00:00:00,355,0.011267605633802818
0,18,188,1977-03-01 00:00:00,355,0.011267605633802818
0,18,207,1978-10-01 00:00:00,355,0.011267605633802818
0,18,339,1989-10-01 00:00:00,355,0.011267605633802818
0,19,124,1971-12-01 00:00:00,355,0.011267605633802818
0,19,242,1981-10-01 00:00:00,355,0.011267605633802818
0,19,263,1983-07-01 00:00:00,355,0.011267605633802818
0,19,280,1984-12-01 00:00:00,355,0.011267605633802818
0,20,131,1972-08-01 00:00:00,355,0.011267605633802818
0,20,205,1978-10-01 00:00:00,355,0.011267605633802818
0,20,224,1980-05-01 00:00:00,355,0.011267605633802818
